id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21345630,Private Room with Private Bathroom in Escandon,153271351,Ary,,Miguel Hidalgo,19.40104,-99.17226,Private room,290,2,4,2020-02-17,0.12,1,315,1,
21352704,"Recamara principal, alberca, gym y más amenidades",145671580,Mauricio,,Miguel Hidalgo,19.43619,-99.1786,Private room,697,1,6,2021-10-01,6,3,167,6,
21353148,Beautiful Loft in the Heart of Coyoacan (D),102373818,Regina,,Coyoacán,19.35808,-99.16036,Entire home/apt,1150,1,58,2021-10-12,1.19,7,344,6,
21353488,Beautiful Loft in the Heart of Coyoacan (E),102373818,Regina,,Benito Juárez,19.35829,-99.16053,Entire home/apt,1150,1,61,2021-07-04,1.25,7,352,15,
21353594,Departamento a una calle de Paseo de la Reforma,154567904,Fabián Jorge,,Cuauhtémoc,19.4263,-99.1747,Entire home/apt,1393,2,86,2020-02-24,1.76,1,332,0,
21353940,Brand New Loft in the Heart of Coyoacan (F),102373818,Regina,,Benito Juárez,19.35803,-99.15874,Entire home/apt,1150,1,64,2021-09-28,1.31,7,353,22,
21354256,Welcome to your home in beautiful Coyoacán!,1674806,Hilda Teresita,,Coyoacán,19.34506,-99.17544,Entire home/apt,900,4,28,2021-09-06,0.58,2,353,5,
21355311,Coozy House in Tlalpan Downtown,52595289,Victor,,Tlalpan,19.28578,-99.16796,Entire home/apt,520,1,0,,,1,360,0,
21356151,Contemporary and Stylish Apartment: Up to 5 Guests,50996058,Gabriel,,Cuauhtémoc,19.40506,-99.16951,Entire home/apt,1918,2,32,2021-08-10,0.66,1,346,4,
21356550,Unique & Exclusive Apt best location *Clean Daily*,12548904,Jorge,,Cuauhtémoc,19.43915,-99.16742,Entire home/apt,718,2,71,2021-04-03,1.59,1,348,23,
21357738,"Condesa/Roma Prime location,Mexican style 2br flat",34218304,Jorgeantonio,,Cuauhtémoc,19.4104,-99.16946,Entire home/apt,1684,2,111,2021-10-06,2.32,1,286,10,
21357902,Macvila hostal,154614631,Guillermo,,Venustiano Carranza,19.45151,-99.10947,Private room,300,1,4,2020-03-15,0.17,4,365,0,
21364837,Habitación amueblada y con todos los servicios,154468717,Fernando,,Tlalpan,19.29771,-99.1078,Private room,800,1,1,2017-10-28,0.02,1,364,0,
21369850,Apartamento Estilo Boutique Cerca de Parque México,36166922,Alejandra,,Cuauhtémoc,19.41381,-99.16574,Entire home/apt,2318,1,140,2021-10-23,3.04,18,291,23,
21369920,Dos cuartos integrados con baño privado. Cerca WTC,154747719,Carlos,,Benito Juárez,19.39532,-99.17576,Private room,680,2,34,2018-07-28,0.70,1,83,0,
21370394,Linda habitación privada c/Baño integrado,54505693,Monica,,Benito Juárez,19.39358,-99.17522,Private room,600,2,21,2019-11-16,0.43,2,300,0,
21379100,Coyoacán beautiful miniloft,2383319,Claudia,,Coyoacán,19.34739,-99.15766,Entire home/apt,787,2,50,2021-02-07,1.02,1,351,2,
21379752,LOMBARDO SUITES,154843808,Lombardo Suites,,Miguel Hidalgo,19.42593,-99.17843,Private room,2934,1,0,,,1,356,0,
21382442,Departamento Portales,154866133,Pedro,,Benito Juárez,19.3712,-99.1438,Entire home/apt,600,3,0,,,1,268,0,
21383289,30% PayLess Long Stays Carso Luxury Amenities,5755202,Andres,,Miguel Hidalgo,19.44273,-99.20334,Entire home/apt,9062,30,3,2020-04-23,0.09,41,82,0,
21383477,Mini Loft Buenavista 113,154879556,Arturo,,Cuauhtémoc,19.4418,-99.15337,Entire home/apt,436,2,202,2020-02-12,4.12,4,346,11,
21383604,Sunny 2BR Apartment in La Condesa,1508801,Irma,,Cuauhtémoc,19.41343,-99.17285,Entire home/apt,996,3,163,2021-10-21,3.56,2,6,37,
21384253,New apartment next to WTC Mexico,154887869,Montecito,,Benito Juárez,19.39423,-99.17414,Entire home/apt,1736,1,46,2019-08-25,1.50,3,146,15,
21385225,"Bonito, iluminado y con balcón en Nápoles x WTC",53859250,Jose,,Benito Juárez,19.39525,-99.17769,Entire home/apt,1021,3,67,2021-10-24,1.37,2,147,12,
21385658,Unwind on an Urban-Sleek Apt. In lively Roma Norte,49904872,Pedro,,Cuauhtémoc,19.41599,-99.16513,Entire home/apt,1472,2,128,2021-10-22,2.71,4,84,22,
21391894,"Depa 1 NUEVO cerca de Plaza de Toros, Estadio Azul",89761727,Paulina,,Benito Juárez,19.38335,-99.18258,Entire home/apt,780,2,24,2020-09-01,0.49,3,319,4,
21395286,Departamento cerca del World Trade Center WTC,154868049,Fernando,,Benito Juárez,19.39285,-99.1796,Entire home/apt,691,2,134,2021-08-11,2.88,1,257,24,
21395669,Depto Familiar en Bosques,50411039,Matias,,Cuajimalpa de Morelos,19.37975,-99.26421,Entire home/apt,5000,1,0,,,1,363,0,
21399450,Loft 3 San Jerónimo junto Hosp. Angeles Pedregal,110468226,Maria Gabriela,,Álvaro Obregón,19.31747,-99.22119,Entire home/apt,1450,2,5,2018-01-23,0.11,3,178,0,
21400272,Premium Exec  2BR Apartment WTC - Modern & Cozzy,5178753,Rodo Y Dan,,Benito Juárez,19.39656,-99.17619,Entire home/apt,1143,1,223,2021-07-21,4.68,3,148,42,
21403695,Amazing Penthouse With Private Rooftop,218661346,Andres,,Cuauhtémoc,19.40563,-99.17458,Entire home/apt,9530,2,60,2021-10-13,1.65,1,325,15,
21409035,Beautiful Department Near UNAM Coyoacan w/ Garden,29940140,Zaira,,Coyoacán,19.34152,-99.17062,Private room,285,12,14,2020-01-16,0.45,6,125,0,
21409581,#pettit #entrada #independiente con baño.,46190388,Berticcenta,,Benito Juárez,19.37862,-99.18108,Private room,323,7,22,2021-04-29,0.49,2,345,2,
21414805,Comfortable Suite in a Beautiful and Stylish Boutique Hotel,69008113,Cristián,,Coyoacán,19.34912,-99.15987,Private room,2386,1,49,2021-10-18,1.01,5,307,4,
21418065,Loft Domminium Tower 04,150997951,Marcos,,Benito Juárez,19.37122,-99.17934,Entire home/apt,999,10,7,2021-08-30,0.15,1,342,1,
21423292,Sunny terrace apartment,130445565,Erika,,Gustavo A. Madero,19.45165,-99.06704,Entire home/apt,890,2,78,2019-10-11,1.70,2,299,0,
